event_type,total_score,epsilon,average_loss,mean_td_error,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time
event_type,total_score,epsilon,average_loss,mean_td_error,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time
LoggingSummary,66.0,0.98010015,0.775025,-0.45386353,2024-11-21T11:06:28.723419098+01:00,0.33,4.0,115,1.0,0.004660353
LoggingSummary,61.0,0.9601004,0.90780604,-0.39868283,2024-11-21T11:06:29.566955028+01:00,0.305,4.19,117,1.0,0.004215619
LoggingSummary,56.0,0.9401006,0.90007424,-0.36316696,2024-11-21T11:06:30.426828987+01:00,0.28,4.155,114,1.0,0.0042971033
LoggingSummary,81.0,0.92010075,0.92934173,-0.42542326,2024-11-21T11:06:31.277252250+01:00,0.405,4.18,131,1.0,0.004249768
LoggingSummary,46.0,0.900101,0.953025,-0.416923,2024-11-21T11:06:32.127236137+01:00,0.23,4.145,113,1.0,0.0042477716
LoggingSummary,60.0,0.8801012,0.9532258,-0.40545046,2024-11-21T11:06:33.182805763+01:00,0.3,4.24,117,1.0,0.0052736364
LoggingSummary,69.0,0.8601014,0.97278106,-0.4466882,2024-11-21T11:06:34.173916526+01:00,0.345,4.23,123,1.0,0.004952673
LoggingSummary,65.0,0.8401016,0.93503344,-0.41527066,2024-11-21T11:06:35.044094550+01:00,0.325,4.17,122,1.0,0.0043487605
LoggingSummary,45.0,0.8201018,0.9397294,-0.4366875,2024-11-21T11:06:35.932698097+01:00,0.225,4.065,112,1.0,0.004440851
LoggingSummary,60.0,0.800102,0.9476522,-0.42439383,2024-11-21T11:06:36.855842204+01:00,0.3,4.07,121,1.0,0.004613356
LoggingSummary,64.0,0.7801022,0.96346164,-0.4263954,2024-11-21T11:06:37.776329352+01:00,0.32,4.19,117,1.0,0.004600201
LoggingSummary,64.0,0.7601024,0.96017545,-0.45027348,2024-11-21T11:06:38.679475124+01:00,0.32,4.075,119,1.0,0.0045134034
LoggingSummary,66.0,0.74010265,0.9794646,-0.4621752,2024-11-21T11:06:39.616178609+01:00,0.33,4.22,122,1.0,0.0046810703
LoggingSummary,68.0,0.7201028,0.9681822,-0.46491772,2024-11-21T11:06:40.551824649+01:00,0.34,4.145,121,1.0,0.0046758605
LoggingSummary,73.0,0.700103,0.98519236,-0.485643,2024-11-21T11:06:41.497978130+01:00,0.365,4.19,124,1.0,0.0047283485
LoggingSummary,72.0,0.6801032,0.97706825,-0.48903653,2024-11-21T11:06:42.433560174+01:00,0.36,4.17,120,1.0,0.0046753525
LoggingSummary,91.0,0.6601034,0.9674647,-0.48853043,2024-11-21T11:06:43.496407835+01:00,0.455,4.115,138,1.0,0.005311313
LoggingSummary,66.0,0.6401036,0.9932015,-0.52286655,2024-11-21T11:06:44.594928895+01:00,0.33,4.2,122,1.0,0.005489683
LoggingSummary,64.0,0.62010384,0.972854,-0.5304132,2024-11-21T11:06:45.651464192+01:00,0.32,4.115,117,1.0,0.0052798665
LoggingSummary,57.0,0.60010403,0.9925901,-0.52598363,2024-11-21T11:06:46.655781472+01:00,0.285,4.215,115,1.0,0.005019113
LoggingSummary,65.0,0.5801042,0.98161644,-0.533975,2024-11-21T11:06:47.618132489+01:00,0.325,4.13,118,1.0,0.0048093153
LoggingSummary,81.0,0.56010437,1.0022202,-0.5417066,2024-11-21T11:06:48.612719887+01:00,0.405,4.22,126,1.0,0.004970363
LoggingSummary,73.0,0.54010457,0.9932284,-0.538505,2024-11-21T11:06:49.632522342+01:00,0.365,4.18,124,1.0,0.0050966293
LoggingSummary,82.0,0.5201048,1.0302615,-0.57577586,2024-11-21T11:06:50.679532351+01:00,0.41,4.31,128,1.0,0.005232421
LoggingSummary,67.0,0.500105,1.0014315,-0.55771923,2024-11-21T11:06:51.691943915+01:00,0.335,4.17,123,1.0,0.005059568
LoggingSummary,52.0,0.48010516,1.0257055,-0.583666,2024-11-21T11:06:52.848641593+01:00,0.26,4.245,110,1.0,0.005780473
LoggingSummary,55.0,0.4601054,1.0187616,-0.59056515,2024-11-21T11:06:54.534143098+01:00,0.275,4.23,111,1.0,0.008422869
LoggingSummary,69.0,0.44010562,0.999148,-0.57609534,2024-11-21T11:06:55.707555785+01:00,0.345,4.15,120,1.0,0.005863749
LoggingSummary,47.0,0.4201058,1.0200796,-0.59590685,2024-11-21T11:06:56.815250573+01:00,0.235,4.3,106,1.0,0.0055355215
LoggingSummary,61.0,0.40010598,1.0149324,-0.6103786,2024-11-21T11:06:57.921375845+01:00,0.305,4.295,116,1.0,0.005527349
LoggingSummary,72.0,0.3801062,1.028901,-0.60869575,2024-11-21T11:06:59.028454711+01:00,0.36,4.265,126,1.0,0.005532574
LoggingSummary,64.0,0.36010638,1.0019507,-0.5965725,2024-11-21T11:07:00.134469884+01:00,0.32,4.225,113,1.0,0.0055275406
LoggingSummary,35.0,0.34010658,1.0171762,-0.6299703,2024-11-21T11:07:01.257839230+01:00,0.175,4.175,105,1.0,0.0056140376
LoggingSummary,49.0,0.3201068,1.0208101,-0.6175545,2024-11-21T11:07:02.469540663+01:00,0.245,4.23,104,1.0,0.006055051
LoggingSummary,54.0,0.30010703,1.0083938,-0.6070505,2024-11-21T11:07:03.604392296+01:00,0.27,4.175,114,1.0,0.00567158
LoggingSummary,76.0,0.2801072,0.9899903,-0.6212133,2024-11-21T11:07:04.757194372+01:00,0.38,4.18,125,1.0,0.005761199
LoggingSummary,54.0,0.2601074,1.036224,-0.6449809,2024-11-21T11:07:06.179782350+01:00,0.27,4.285,105,1.0,0.0071092043
LoggingSummary,91.0,0.24010763,1.0233705,-0.6532235,2024-11-21T11:07:07.388962877+01:00,0.455,4.295,133,1.0,0.0060429038
LoggingSummary,66.0,0.22010778,1.0245832,-0.6403345,2024-11-21T11:07:08.581738197+01:00,0.33,4.26,121,1.0,0.005960772
LoggingSummary,62.0,0.200108,1.0130947,-0.63062054,2024-11-21T11:07:09.758974046+01:00,0.31,4.21,116,1.0,0.0058834725
LoggingSummary,85.0,0.18010822,1.0408204,-0.6632555,2024-11-21T11:07:10.985561864+01:00,0.425,4.285,129,1.0,0.006129838
LoggingSummary,84.0,0.16010839,1.0291632,-0.6616086,2024-11-21T11:07:12.205334045+01:00,0.42,4.27,128,1.0,0.006095755
LoggingSummary,75.0,0.1401086,1.0448167,-0.6791309,2024-11-21T11:07:13.468933990+01:00,0.375,4.33,122,1.0,0.0063138064
LoggingSummary,62.0,0.12010882,1.0315423,-0.6718036,2024-11-21T11:07:14.752183191+01:00,0.31,4.275,116,1.0,0.0064115925
LoggingSummary,76.0,0.10010898,1.0704709,-0.7078964,2024-11-21T11:07:16.115806224+01:00,0.38,4.315,122,1.0,0.006812914
LoggingSummary,64.0,0.0801092,1.0213573,-0.6911479,2024-11-21T11:07:17.509772240+01:00,0.32,4.225,118,1.0,0.00696462
LoggingSummary,55.0,0.060109418,1.0411171,-0.7143201,2024-11-21T11:07:18.776470538+01:00,0.275,4.255,109,1.0,0.006328549
LoggingSummary,65.0,0.04010958,1.0173059,-0.6931501,2024-11-21T11:07:20.070591875+01:00,0.325,4.265,116,1.0,0.006466106
LoggingSummary,92.0,0.020109797,1.0634646,-0.7019427,2024-11-21T11:07:21.431297863+01:00,0.46,4.32,134,1.0,0.00679867
LoggingSummary,63.0,0.00011001559,1.0664527,-0.71132445,2024-11-21T11:07:22.885494472+01:00,0.315,4.315,118,1.0,0.007265387
