event_type,total_score,epsilon,average_loss,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time,epoch
LoggingSummary,147.0,0.9501005,1.0664529,2024-11-21T11:37:47.144819908+01:00,0.294,4.102,289,1.0,0.0056960233,500
LoggingSummary,171.0,0.900101,1.1225175,2024-11-21T11:37:50.007838867+01:00,0.342,4.162,305,1.0,0.005722971,1000
LoggingSummary,155.0,0.8501015,1.1199204,2024-11-21T11:37:53.811676373+01:00,0.31,4.174,289,1.0,0.007603441,1500
LoggingSummary,126.0,0.800102,1.1399645,2024-11-21T11:37:57.627039674+01:00,0.252,4.214,282,1.0,0.0076260166,2000
LoggingSummary,138.0,0.7501025,1.1313168,2024-11-21T11:38:00.796193789+01:00,0.276,4.23,285,1.0,0.006335051,2500
LoggingSummary,136.0,0.700103,1.1190498,2024-11-21T11:38:03.830599382+01:00,0.272,4.164,292,1.0,0.0060656574,3000
LoggingSummary,137.0,0.6501035,1.1334339,2024-11-21T11:38:07.182186109+01:00,0.274,4.186,288,1.0,0.0066993753,3500
LoggingSummary,111.0,0.60010403,1.1210121,2024-11-21T11:38:10.152600732+01:00,0.222,4.188,277,1.0,0.0059377807,4000
LoggingSummary,87.0,0.55010444,1.1271038,2024-11-21T11:38:12.982892480+01:00,0.174,4.14,270,1.0,0.00565774,4500
LoggingSummary,140.0,0.500105,1.1589588,2024-11-21T11:38:16.232270120+01:00,0.28,4.224,287,1.0,0.006495484,5000
LoggingSummary,104.0,0.45010552,1.1565201,2024-11-21T11:38:19.510293992+01:00,0.208,4.198,275,1.0,0.0065527074,5500
LoggingSummary,101.0,0.40010598,1.1809827,2024-11-21T11:38:23.246662477+01:00,0.202,4.254,272,1.0,0.0074687023,6000
LoggingSummary,113.0,0.35010648,1.1905005,2024-11-21T11:38:26.550239691+01:00,0.226,4.272,281,1.0,0.006603666,6500
LoggingSummary,120.0,0.30010703,1.2013314,2024-11-21T11:38:30.117693804+01:00,0.24,4.3,283,1.0,0.007131321,7000
LoggingSummary,54.0,0.25010753,1.225922,2024-11-21T11:38:33.576503689+01:00,0.108,4.342,243,1.0,0.0069140815,7500
LoggingSummary,117.0,0.200108,1.2514509,2024-11-21T11:38:37.318352649+01:00,0.234,4.456,273,1.0,0.0074798907,8000
LoggingSummary,30.0,0.15010849,1.218191,2024-11-21T11:38:41.179620373+01:00,0.06,4.324,237,1.0,0.0077179126,8500
LoggingSummary,45.0,0.10010898,1.2315593,2024-11-21T11:38:44.962760630+01:00,0.09,4.386,244,1.0,0.0075604217,9000
LoggingSummary,17.0,0.050109528,1.2450415,2024-11-21T11:38:48.945451519+01:00,0.034,4.4,234,1.0,0.007959291,9500
LoggingSummary,38.0,0.00011001559,1.2711223,2024-11-21T11:38:53.380166269+01:00,0.076,4.478,235,1.0,0.008862516,10000
